Id,Predicted
12373510,480666.50515316514
12422623,333031.0348637264
12377408,541983.418269821
12420093,377419.5397190786
12417338,248392.34458844765
12322549,368078.18110478244
12394530,346319.26261292445
12392544,1253945.1737945573
12379544,318945.65891342104
12402318,589229.9946040482
12408810,359617.6403158974
12322454,296990.03344209783
12238466,908666.8142896199
12388506,625872.5900438392
12419458,405658.0043030771
12379907,313981.30025212787
12393144,361459.4691778583
12288342,1079676.5796483455
12282882,299004.4513708138
12355961,328020.0764994066
12419375,579743.5763469872
12402650,419482.04039283405
12303324,658693.4350934164
12402195,514211.8128360105
12268727,637901.9460492645
12392968,1857172.6849857997
11685896,452662.0745010283
12289847,249318.67026786527
12389608,390871.0078080733
12358125,359014.1563120382
12417270,183356.63033283918
12426859,263715.752700368
12378305,237184.3802092175
12415997,310431.9992561614
12064946,511493.170788388
12219606,1435399.8433189583
12392176,245734.54303241588
12222695,633577.8414314803
12383622,440298.2000435582
12406210,442237.95615047927
12259512,313952.4692993848
11975671,422791.3963123895
12319073,583980.1761316032
12396251,218918.13876808764
12366497,256536.98968466782
12170365,320433.8371801719
12347914,330768.2120625986
12374493,256238.94468153742
12398691,264293.0255853578
12416324,1081453.7195766883
12357471,891863.6417080518
12420869,537594.3889421257
12046807,393913.4806817234
12377854,261057.82233004645
12427294,539714.3547799672
12368051,254280.196534612
12382734,322568.57578557666
12383974,327844.9557068174
12384878,296684.0169043894
12414279,184808.6865433465
12414724,966015.28453599
12313708,1428037.7596413926
12118937,947927.3026192279
11490854,252237.9438385054
12165854,408205.69131787744
12387219,258524.16078173567
12347439,600037.0797529486
12092890,1142117.740823874
12220726,356299.0791712153
12388158,491187.17450939806
12232307,973172.1766844809
12404529,234008.10467313125
12300395,320110.96011344605
12314471,264982.8864095003
12277968,1057286.4124537462
12275869,455438.791603587
12384165,275047.08244854544
12393388,310082.04678378144
12322832,371831.1527169931
12412821,267013.5373683597
12388948,292391.11392171856
12373809,557468.5476164257
12407049,587158.6937952918
12383680,2775527.924380371
12243993,1130158.1221078024
12264484,297511.6845166333
12408396,359142.41526182723
